球队,中文名,英文名,号码,位置,身高,体重,球龄,img_url
活塞,杰登-艾维,Jaden Ivey,23,后卫,193,88,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_杰登-艾维.png
活塞,罗恩-哈珀,Ron Harper Jr.,13,后卫/前锋,193,106,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_罗恩-哈珀.png
活塞,罗纳德-德韦恩-霍兰二世,Ronald Holland II,00,前锋,203,93,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_罗纳德-德韦恩-霍兰二世.png
活塞,西莫内-丰泰基奥,Simone Fontecchio,19,前锋,201,95,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_西莫内-丰泰基奥.png
活塞,马库斯-萨瑟,Marcus Sasser,25,后卫,188,88,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_马库斯-萨瑟.png
活塞,以赛亚·斯图尔特,Isaiah Stewart,28,前锋/中锋,203,113,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_以赛亚·斯图尔特.png
活塞,博比-克林特曼,Bobi Klintman,34,前锋,206,102,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_博比-克林特曼.png
活塞,丹尼斯-詹金斯,Daniss Jenkins,24,后卫,191,75,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_丹尼斯-詹金斯.png
活塞,杰伦-杜伦,Jalen Duren,-,中锋,208,113,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_杰伦-杜伦.png
活塞,凯德-坎宁安,Cade Cunningham,2,后卫,198,100,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_凯德-坎宁安.png
活塞,林迪-沃特斯三世,Lindy Waters III,43,前锋,198,95,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_林迪-沃特斯三世.png
活塞,丹尼斯-施罗德,Dennis Schr?der,17,后卫,185,79,11,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_丹尼斯-施罗德.png
活塞,马利克-比斯利,Malik Beasley,5,后卫,193,85,8,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_马利克-比斯利.png
活塞,托鲁-史密斯,Tolu Smith,35,前锋,211,-,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/活塞_托鲁-史密斯.png
魔术,杰特-霍华德,Jett Howard,13,后卫,198,98,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_杰特-霍华德.png
魔术,戈加-比塔泽,Goga Bitadze,35,中锋/前锋,208,113,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_戈加-比塔泽.png
魔术,凯莱布-休斯坦,Caleb Houstan,2,后卫,203,93,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_凯莱布-休斯坦.png
魔术,麦克-麦克朗,Mac McClung,8,后卫,188,84,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_麦克-麦克朗.png
魔术,特里斯坦-达-席尔瓦,Tristan da Silva,23,前锋,203,98,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_特里斯坦-达-席尔瓦.png
魔术,肯塔维奥斯-卡德维尔-波普,Kentavious Caldwell-Pope,3,后卫,196,93,11,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_肯塔维奥斯-卡德维尔-波普.png
魔术,弗朗茨-瓦格纳,Franz Wagner,22,前锋,208,100,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_弗朗茨-瓦格纳.png
魔术,温德尔-卡特,Wendell Carter Jr.,34,中锋/前锋,208,122,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_温德尔-卡特.png
魔术,科里-约瑟夫,Cory Joseph,10,后卫,188,91,13,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_科里-约瑟夫.png
魔术,莫里兹-瓦格纳,Moritz Wagner,21,前锋/中锋,211,111,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_莫里兹-瓦格纳.png
魔术,伊桑-汤普森,Ethan Thompson,55,后卫,196,88,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_伊桑-汤普森.png
